ticker,name,exchange,security_type,is_adr,primary_listing_country,market_cap,shares_outstanding,ipo_date,industry_labels,concept_labels,region_labels,has_any_plate,market_cap_billion,in_strategy_whitelist
US.SONY,索尼,NYSE,common stock,False,US,125611963677.3,5821436039,1970-01-01,消费电子产品,AI眼镜概念股 | 元宇宙概念 | 数字音乐 | 日企美股精选 | 智能驾驶概念股 | 稳定币概念 | 虚拟现实,,True,125.6119636773,False
US.BMY,施贵宝,NYSE,common stock,False,US,123565731155.97,2038902409,1970-01-01,一般药品制造商,抗癌医药,,True,123.56573115597,False
US.SBUX,星巴克,NASDAQ,common stock,False,US,123509289000.0,1137377328,1992-06-26,餐厅,,,True,123.509289,False
US.PDD,拼多多,NASDAQ,common stock,False,US,123380005326.16,763550425,2018-07-26,互联网零售,双十一 | 段永平持仓概念 | 热门中概股 | 腾讯概念,,True,123.38000532616,False
US.VRTX,福泰制药,NASDAQ,common stock,False,US,123357046824.51,253073016,1970-01-01,生物技术,ARK持仓 | 基因编辑,,True,123.35704682451,False
US.ENB,恩桥,NYSE,common stock,False,US,123291499590.9,2180047999,1970-01-01,油气中游,,,True,123.29149959089999,True
US.MO,奥驰亚,NYSE,common stock,False,US,121952156892.05,1666540325,1970-01-01,烟草,,,True,121.95215689205,False
US.LOW,劳氏,NYSE,common stock,False,US,121202433982.56,559472025,1970-01-01,家居装修零售,圣诞节概念 | 美国知名零售商 | 股息贵族,,True,121.20243398256,False
US.PH,派克汉尼汾,NYSE,common stock,False,US,120833630034.26,125698214,1970-01-01,专用工业机械,,,True,120.83363003426,False
US.PGR,前进保险,NYSE,common stock,False,US,119816760000.0,579960054,1970-01-01,财产和意外伤害保险,,,True,119.81676,False
US.LMT,洛克希德马丁,NYSE,common stock,False,US,118399023980.16,197604118,1970-01-01,航空航天与国防,ARK持仓 | 太空概念 | 机器人概念股 | 美国国防航空,,True,118.39902398016001,True
US.FTNT,飞塔信息,NASDAQ,common stock,False,US,117795208304.98,617653005,2009-11-18,软件基础设施,DeepSeek概念股 | 网络安全概念,,True,117.79520830498,True
US.VRT,Vertiv Holdings,NYSE,common stock,False,US,112970243873.76,377749538,2018-06-08,电气设备及零件,人工智能,,True,112.97024387376,True
US.PBR,巴西石油公司,NYSE,common stock,False,US,112583080658.6,3944732653,1970-01-01,综合油气,美国降息利好概念,,True,112.58308065860001,True
US.CM,加拿大帝国商业银行,NYSE,common stock,False,US,110449657488.36,913746878,1970-01-01,多元化银行,,,True,110.44965748836,False
US.BNY,纽约梅隆银行,NYSE,common stock,False,US,110410933178.7,684482878,1970-01-01,,,,,110.41093317869999,False
US.BNS,丰业银行,NYSE,common stock,False,US,109905452640.0,1210978392,1970-01-01,多元化银行,,,True,109.90545264,False
US.HWM,Howmet Aerospace,NYSE,common stock,False,US,108505148314.77,396249437,2016-11-01,航空航天与国防,太空概念 | 美国国防航空,,True,108.50514831477001,True
US.SO,美国南方公司,NYSE,common stock,False,US,108299816484.86,1124809290,1970-01-01,受监管电力,核电,,True,108.29981648486,False
US.MDT,美敦力,NYSE,common stock,False,US,107281427591.84,1281361060,1970-01-01,医疗设备,机器人概念股 | 脑机接口,,True,107.28142759184,False
US.NOW,ServiceNow,NYSE,common stock,False,US,107266345080.0,1029767379,1970-01-01,应用软件,AI应用软件股 | DeepSeek概念股 | SaaS概念 | 云计算服务商 | 人工智能,,True,107.26634508,False
US.IBN,印度工业信贷投资银行,NYSE,common stock,False,US,106056899883.17,3571335703,1970-01-01,地区银行,,,True,106.05689988317,False
US.SNY,赛诺菲安万特,NASDAQ,common stock,False,US,105828528639.46,2160907716,1970-01-01,一般药品制造商,流行病诊疗,,True,105.82852863946,False
US.BP,英国石油,NYSE,common stock,False,US,105786349766.24,2500144857,1970-01-01,综合油气,避险资产,,True,105.78634976624001,True
US.GSK,葛兰素史克,NYSE,common stock,False,US,105687633679.14,1939553388,1970-01-01,一般药品制造商,CAR-T疗法 | 流行病诊疗,,True,105.68763367914,False
US.TT,Trane技术,NYSE,common stock,False,US,105001351575.0,220498458,1970-01-01,建筑产品与设备,,,True,105.001351575,False
US.ADP,自动数据处理,NASDAQ,common stock,False,US,102555827389.92,398831950,2008-10-21,应用软件,AI应用软件股 | SaaS概念 | 软件外包,,True,102.55582738992,False
US.PNC,PNC金融服务集团,NYSE,common stock,False,US,101943653020.0,396483914,1970-01-01,地区银行,财产管理,,True,101.94365302,False
US.CDNS,铿腾电子,NASDAQ,common stock,False,US,100576304400.0,274542146,1970-01-01,应用软件,,,True,100.5763044,False
US.BX,黑石,NYSE,common stock,False,US,100189239356.07,737585536,2007-06-22,资产管理,,,True,100.18923935607,False
